0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0004,0.0000,0.0006,0.0016,0.0392,0.0000,0.0001,0.0001
0.0000,0.0000,0.0000,0.0290,0.0000,0.0000,0.0288,0.0004,0.0000,0.0000,0.0000,0.0020,0.0018,0.0000,0.0000,0.0894
0.0000,0.0000,0.0000,0.0006,0.0000,0.0000,0.0000,0.0000,0.0024,0.0000,0.0003,0.0000,0.0000,0.0000,0.0004,0.0004
0.0000,0.0290,0.0006,0.0000,0.0000,0.0018,0.0443,0.0000,0.0000,0.0003,0.0008,0.0000,0.7734,0.0000,0.0062,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0602,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0018,0.0000,0.0000,0.9737,0.0000,0.0000,0.0000,0.0000,0.0000,0.0306,0.0000,0.0012,0.0000
0.0001,0.0288,0.0000,0.0443,0.0000,0.9737,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0622,0.0000,0.0000,0.0000
0.0000,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7376,0.0000,0.0000,0.0000,0.0000,0.0707,0.0004,0.0000
0.0004,0.0000,0.0024,0.0000,0.0000,0.0000,0.0000,0.7376,0.0000,0.0000,0.0161,0.0000,0.0002,0.0000,0.0209,0.0000
0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0077
0.0006,0.0000,0.0003,0.0008,0.0000,0.0000,0.0000,0.0000,0.0161,0.0000,0.0000,0.0000,0.2728,0.0000,0.0954,0.0001
0.0016,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0392,0.0018,0.0000,0.7734,0.0602,0.0306,0.0622,0.0000,0.0002,0.0000,0.2728,0.0000,0.0000,0.9781,0.1569,0.0243
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0707,0.0000,0.0000,0.0000,0.0000,0.9781,0.0000,0.0002,0.0000
0.0001,0.0000,0.0004,0.0062,0.0000,0.0012,0.0000,0.0004,0.0209,0.0000,0.0954,0.0000,0.1569,0.0002,0.0000,0.0001
0.0001,0.0894,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0077,0.0001,0.0000,0.0243,0.0000,0.0001,0.0000
