0.0000,0.0001,0.0000,0.0000,0.1847,0.0000,0.0000,0.0000,0.0135,0.0000,0.0000,0.0000
0.0001,0.0000,0.0013,0.0004,0.0000,0.0000,0.0004,0.0140,0.0007,0.0000,0.0239,0.0000
0.0000,0.0013,0.0000,0.0004,0.0003,0.0000,0.0072,0.0000,0.0232,0.0000,0.0001,0.0000
0.0000,0.0004,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0406,0.0000,0.0007,0.0000
0.1847,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0015,0.0000,0.0000,0.0000
0.0000,0.0004,0.0072,0.0000,0.0000,0.0000,0.0000,0.0000,0.0819,0.0000,0.0000,0.0000
0.0000,0.0140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0417,0.0000,0.0000,0.0000
0.0135,0.0007,0.0232,0.0406,0.0000,0.0015,0.0819,0.0417,0.0000,0.0000,0.0080,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0239,0.0001,0.0007,0.0000,0.0000,0.0000,0.0000,0.0080,0.0000,0.0000,0.4664
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4664,0.0000
